id,Title,Content,Property Categories,property_property_type,property_bedroom,property_bathroom,property_building_size,property_lot_size,property_parking,property_construction_status,property_price,property_price_hidden,property_price_type,property_address
190,Metro View Apartment,,,1,3,,1200,,,,1.25 Cr,,1,"2nd/3rd Floor, Sector 13 Dwarka, Delhi, India|2nd/3rd Floor, Sector 13 Dwarka, Delhi, India"
191,Nayantara Apartments,,,1,3,,1470,,,,1.65 Cr,,1,"4th /10th Floor, Sector 7 Dwarka, New Delhi, Delhi, India|4th /10th Floor, Sector 7 Dwarka, New Delhi, Delhi, India"
